"","Season","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Player-additional"
"1","1985-1986","Kareem Abdul-Jabbar*","C",38,"LAL",79,2629,22.7,0.603,0.001,0.328,6,14.2,10.3,15.7,1.2,2.7,11.7,26.6,7.6,3.2,10.8,0.197,4.4,1,5.4,4.9,"abdulka01"
"2","1985-1986","Alvan Adams","C",31,"PHO",78,2005,15.3,0.547,0.003,0.299,8.9,18.1,13.7,22.5,2.4,1.3,21.1,19.4,1.2,2.7,3.9,0.094,0.2,1.5,1.6,1.8,"adamsal01"
"3","1985-1986","Michael Adams","PG",23,"SAC",18,139,8,0.406,0.068,0.273,1.6,3.2,2.4,20.3,3,0.4,18.2,17.5,-0.2,0.1,-0.1,-0.028,-3.6,-0.2,-3.8,-0.1,"adamsmi01"
"4","1985-1986","Mark Aguirre","SF",26,"DAL",74,2501,19.2,0.547,0.042,0.34,7.9,11.6,9.8,20.9,1.2,0.3,14.2,29,3.7,0.9,4.7,0.09,2.3,-2.1,0.3,1.4,"aguirma01"
"5","1985-1986","Danny Ainge","SG",26,"BOS",80,2407,13.6,0.562,0.104,0.194,2.3,8.1,5.4,21.3,1.9,0.2,14.5,15.2,3.6,3.2,6.8,0.136,-0.1,1,0.9,1.8,"aingeda01"
"6","1985-1986","Ron Anderson","SF",27,"TOT",77,1676,14,0.517,0.014,0.202,8.5,9.3,8.9,12.5,1.6,0.2,10.7,18.7,1.6,1.5,3.1,0.09,0.3,-0.4,-0.1,0.8,"anderro01"
"7","1985-1986","Ron Anderson","SF",27,"CLE",17,207,10.4,0.531,0.014,0.216,2.7,11.2,6.9,5.5,0.2,0,6.9,17.2,0.2,0.1,0.3,0.064,-1.9,-0.9,-2.8,0,"anderro01"
"8","1985-1986","Ron Anderson","SF",27,"IND",60,1469,14.5,0.515,0.014,0.2,9.3,9,9.2,13.5,1.8,0.2,11.2,19,1.4,1.4,2.9,0.094,0.6,-0.3,0.3,0.9,"anderro01"
"9","1985-1986","John Bagley","PG",25,"CLE",78,2472,15.2,0.475,0.043,0.249,3.4,8.9,6.1,40.7,2.3,0.2,19.9,19.8,1,2,3,0.059,1.3,-0.7,0.6,1.6,"baglejo01"
"10","1985-1986","James Bailey","PF",28,"NYK",48,1245,12.6,0.516,0.009,0.377,8.8,22.1,15.2,6.1,1.3,2,16.1,20.7,0,2,1.9,0.075,-3.3,0.1,-3.2,-0.4,"baileja01"
"11","1985-1986","Thurl Bailey","PF",24,"UTA",82,2358,15,0.499,0.006,0.257,6.9,15.7,11.4,9.7,0.8,2.7,10.7,23,1,3,4,0.081,-0.5,-0.4,-0.9,0.7,"baileth01"
