season,team,Pre-Season,Post-Reg_Season,Mean,Median,Min,Max,winner
1947,TRH,1300.0,1208.3134,1242.1798633333335,1236.8733,1200.0703,1236.8733,PHW
1947,NYK,1300.0,1332.156,1308.5282516666666,1305.85715,1249.8612,1305.85715,PHW
1947,PRO,1300.0,1276.7406,1279.1002266666667,1275.77635,1250.736,1275.77635,PHW
1947,STB,1300.0,1369.4114,1344.6803770491804,1348.7775,1302.5988,1348.7775,PHW
1947,CHS,1300.0,1386.6256,1359.1851918032787,1353.0458,1299.0626,1353.0458,PHW
1947,BOS,1300.0,1218.3289,1227.5069166666665,1224.08025,1192.7406,1224.08025,PHW
1947,PIT,1300.0,1111.4615,1214.7679483333334,1217.15765,1111.4615,1217.15765,PHW
1947,WSC,1300.0,1518.7253,1434.69054,1445.8002999999999,1316.6356,1445.8002999999999,PHW
1947,DTF,1300.0,1199.1213,1264.4622566666667,1265.9702499999999,1194.6653,1265.9702499999999,PHW
1947,CLR,1300.0,1289.1487,1299.3398866666669,1299.55215,1270.1802,1299.55215,PHW
1947,PHW,1300.0,1389.9673,1335.6365933333334,1334.6135,1281.1688,1334.6135,PHW
1948,BLB,1419.0,1477.2552,1450.5452979166666,1448.75935,1414.4618,1448.75935,BLB
1948,WSC,1481.0703,1465.9006,1460.8997499999998,1463.03085,1417.0306,1463.03085,BLB
1948,PHW,1460.8939,1442.6938,1415.3045312499999,1408.55775,1374.9803,1408.55775,BLB
1948,CHS,1433.2307,1440.7186,1458.9335125,1457.3049,1429.7191,1457.3049,BLB
1948,NYK,1359.7107,1416.0919,1420.79351875,1420.6779,1364.6733,1420.6779,BLB
1948,PRO,1333.8054,1164.3934,1238.9372604166667,1235.84475,1164.3934,1235.84475,BLB
1948,STB,1395.4702,1453.5326,1434.8004458333332,1438.8408,1384.1389,1438.8408,BLB
1948,BOS,1289.9966,1312.5914,1293.3573708333333,1292.0631,1255.6471,1292.0631,BLB
1949,STB,1429.9547,1407.9425,1398.8426583333335,1396.5531,1350.7646,1396.5531,MNL
1949,INJ,1366.0,1312.3342,1340.4003483333333,1338.24675,1308.5612,1338.24675,MNL
1949,FTW,1495.0,1382.4863,1427.7299583333333,1423.87335,1382.4863,1423.87335,MNL
1949,WSC,1472.1492,1455.3372,1516.411535,1521.40575,1451.7133,1521.40575,MNL
1949,NYK,1439.8278,1460.0726,1465.9095583333333,1462.33655,1413.4304,1462.33655,MNL
1949,PHW,1488.3862,1461.3064,1458.5570366666666,1464.31815,1416.0331,1464.31815,MNL
1949,BLB,1507.2052,1469.6973,1470.4738383333336,1473.0497500000001,1419.428,1473.0497500000001,MNL
1949,PRO,1249.545,1230.696,1223.0721466666666,1222.2301,1175.835,1222.2301,MNL
1949,MNL,1527.0,1589.61,1577.928045,1576.6347999999998,1513.488,1576.6347999999998,MNL
1949,BOS,1354.7399,1380.4526,1350.5507433333332,1361.1374,1273.0139,1361.1374,MNL
1949,ROC,1535.0,1604.3776,1589.6468233333333,1583.06095,1531.0787,1583.06095,MNL
1949,CHS,1448.0752,1558.5707,1506.1177233333333,1510.6408999999999,1453.6569,1510.6408999999999,MNL
1950,DNN,1295.0,1171.1479,1230.7548193548387,1228.90435,1171.1479,1228.90435,MNL
1950,TRI,1430.0,1431.0984,1399.5611703125,1401.79215,1350.4829,1401.79215,MNL
1950,ROC,1576.0588,1669.67,1601.4413882352942,1601.4159,1552.0529,1601.4159,MNL
1950,CHS,1528.5876,1500.3918,1540.652194117647,1543.8427,1483.5375,1543.8427,MNL
1950,NYK,1472.8823,1505.1465,1518.0700176470586,1518.86265,1453.0109,1518.86265,MNL
1950,STB,1425.8921,1395.8203,1418.547963235294,1428.1775,1363.652,1428.1775,MNL
1950,SHE,1405.0,1288.1503,1356.118469354839,1356.7151,1283.8699,1356.7151,MNL
1950,INO,1300.0,1504.6667,1417.046796875,1431.2568,1289.672,1431.2568,MNL
1950,MNL,1594.7988,1685.027,1622.543605882353,1613.54065,1542.5488,1613.54065,MNL
1950,WAT,1382.0,1330.1293,1313.881785483871,1312.11085,1270.5258,1312.11085,MNL
1950,WSC,1493.5471,1433.3279,1472.2270264705883,1472.90735,1422.6344,1472.90735,MNL
1950,BLB,1471.7623,1359.9296,1391.5775926470587,1385.7425,1335.3239,1385.7425,MNL
1950,PHW,1451.6565,1430.6537,1403.0627661764706,1398.17955,1374.4346,1398.17955,MNL
1950,FTW,1413.1147,1508.7106,1473.4803691176471,1471.9251,1425.4482,1471.9251,MNL
1950,BOS,1411.5895,1351.8062,1406.777530882353,1401.8694500000001,1351.8062,1401.8694500000001,MNL
1950,SYR,1458.0,1582.1902,1572.7428859375,1582.1667499999999,1462.6614,1582.1667499999999,MNL
1950,AND,1562.0,1524.0238,1523.2146765625,1529.8263499999998,1453.8049,1529.8263499999998,MNL
1951,WSC,1441.0997,1370.736,1421.1427742857143,1424.7611,1370.736,1424.7611,ROC
1951,ROC,1608.8955,1589.7719,1589.9593955882353,1589.91835,1547.6061,1589.91835,ROC
1951,FTW,1521.9481,1473.8157,1485.5878220588236,1485.4753,1446.5992,1485.4753,ROC
1951,BLB,1396.1971,1420.9303,1412.0252348484848,1413.25985,1356.5475,1413.25985,ROC
1951,MNL,1670.8335,1632.7761,1645.93,1644.9391500000002,1606.511,1644.9391500000002,ROC
1951,BOS,1390.1046,1506.6257,1469.9370710144929,1463.7512,1372.4176,1463.7512,ROC
1951,INO,1488.2722,1479.5359,1484.2690485294117,1481.40765,1446.2679,1481.40765,ROC
1951,TRI,1443.1272,1398.8395,1434.542544117647,1433.5654,1398.4512,1433.5654,ROC
1951,SYR,1574.5078,1506.5504,1530.7631696969697,1523.4828,1485.2874,1523.4828,ROC
1951,NYK,1512.5427,1510.833,1527.4982651515152,1531.6653999999999,1471.8127,1531.6653999999999,ROC
1951,PHW,1441.1871,1598.3013,1515.573468181818,1517.2568999999999,1446.0084,1517.2568999999999,ROC
1952,SYR,1524.3375,1590.9932,1590.6088227272728,1590.57285,1531.5564,1590.57285,MNL
1952,FTW,1476.907,1468.4019,1451.809437878788,1455.51825,1405.2368,1455.51825,MNL
1952,ROC,1586.5313,1574.7904,1589.1779984848486,1588.61425,1559.3551,1588.61425,MNL
1952,BLB,1441.9478,1327.3258,1376.8139393939393,1367.1093999999998,1310.511,1367.1093999999998,MNL
1952,MLH,1425.3796,1336.6356,1371.1453606060606,1366.0341,1325.6882,1366.0341,MNL
1952,MNL,1576.1448,1628.0442,1620.4205636363636,1622.3407000000002,1570.5095,1622.3407000000002,MNL
1952,NYK,1525.4413,1579.5975,1537.0069545454546,1535.9984,1500.1102,1535.9984,MNL
1952,INO,1496.0835,1490.8492,1506.3995121212122,1510.8805,1447.4856,1510.8805,MNL
1952,PHW,1560.6174,1529.3818,1516.7898272727273,1515.07555,1482.5345,1515.07555,MNL
1952,BOS,1487.595,1574.9653,1546.257084848485,1546.5626499999998,1503.9678,1546.5626499999998,MNL
1953,BOS,1555.5466,1584.0746,1563.3456225352113,1563.1652,1518.3981,1563.1652,MNL
1953,INO,1486.719,1446.5123,1440.8859507042253,1437.4355,1405.9166,1437.4355,MNL
1953,ROC,1561.0394,1573.3589,1600.7424885714286,1598.7914,1566.0249,1598.7914,MNL
1953,BLB,1371.7444,1295.5608,1329.0496914285714,1328.26075,1279.6302,1328.26075,MNL
1953,SYR,1565.7715,1646.4547,1603.818904225352,1605.3597,1558.2783,1605.3597,MNL
1953,FTW,1467.7277,1515.004,1485.5745724637682,1481.8212,1428.4673,1481.8212,MNL
1953,MNL,1612.1746,1623.1163,1647.9031485714286,1641.3703,1612.3627,1641.3703,MNL
1953,NYK,1570.6726,1622.5737,1621.905317142857,1607.6523499999998,1558.8483,1607.6523499999998,MNL
1953,PHW,1518.1163,1332.8267,1393.6270869565217,1369.9716,1328.4766,1369.9716,MNL
1953,MLH,1378.7267,1448.7567,1410.5229352112676,1401.5018,1352.1417,1401.5018,MNL
1954,MLH,1462.8175,1409.0142,1381.0278708333333,1375.83655,1342.1224,1375.83655,MNL
1954,MNL,1621.7465,1567.8835,1623.1088319444445,1622.4231,1555.4036,1622.4231,MNL
1954,BLB,1343.9944,1268.1525,1319.4634458333333,1323.6743999999999,1268.1525,1323.6743999999999,MNL
1954,NYK,1585.6575,1532.0281,1570.6442597222222,1571.52275,1489.9216,1571.52275,MNL
1954,PHW,1375.87,1480.1819,1441.587725,1435.8521500000002,1379.08,1435.8521500000002,MNL
1954,SYR,1596.9908,1626.6836,1600.7992263888889,1596.7703999999999,1549.4989,1596.7703999999999,MNL
1954,ROC,1551.064,1613.2847,1587.5511611111112,1585.4117999999999,1548.4191,1585.4117999999999,MNL
1954,BOS,1568.1497,1599.2255,1552.3513527777777,1549.80405,1514.834,1549.80405,MNL
1954,FTW,1516.7598,1526.5962,1544.0427833333333,1549.0563000000002,1496.4758,1549.0563000000002,MNL
1955,FTW,1498.053,1525.5803,1557.2251847222224,1558.3316,1515.9465,1558.3316,SYR
1955,MNL,1605.8107,1583.402,1590.8453472222222,1591.1568499999998,1565.799,1591.1568499999998,SYR
1955,ROC,1579.9783,1510.1079,1531.5268513888889,1531.85435,1487.885,1531.85435,SYR
1955,BOS,1569.1133,1478.5975,1536.8053208333333,1556.6603,1451.9104,1556.6603,SYR
1955,MLH,1433.0106,1467.2375,1429.5134069444443,1434.4373500000002,1381.2523,1434.4373500000002,SYR
1955,NYK,1502.6542,1563.2231,1524.8315041666667,1519.4217,1478.4923,1519.4217,SYR
1955,SYR,1601.1667,1617.9969,1578.3605375,1578.7188999999998,1519.708,1578.7188999999998,SYR
1955,PHW,1486.3865,1530.0278,1528.7827555555555,1526.3057,1482.8119,1526.3057,SYR
1956,BOS,1493.8099,1506.8086,1525.3177180555556,1521.9407,1493.6177,1521.9407,PHW
1956,STL,1476.6782,1525.6771,1489.8775513888888,1490.9961,1428.0195,1490.9961,PHW
1956,FTW,1546.7449,1511.0176,1529.1242013888889,1528.29945,1497.9382,1528.29945,PHW
1956,MNL,1546.9825,1533.9983,1494.2575847222224,1493.3111,1439.7842,1493.3111,PHW
1956,NYK,1529.5782,1535.896,1529.5052402777776,1533.3002999999999,1482.3258,1533.3002999999999,PHW
1956,PHW,1523.7709,1608.5647,1602.2095277777778,1605.7359000000001,1515.4177,1605.7359000000001,PHW
1956,SYR,1593.1318,1533.507,1563.8414694444446,1562.4539,1518.8925,1562.4539,PHW
1956,ROC,1506.4336,1461.6609,1489.5885250000001,1488.4836500000001,1438.05,1488.4836500000001,PHW
1957,MNL,1543.3721,1510.6212,1506.0477791666667,1515.07385,1446.67,1515.07385,BOS
1957,FTW,1514.392,1447.6637,1478.5080763888889,1478.8767,1413.6268,1478.8767,BOS
1957,SYR,1525.1055,1550.2654,1511.5320180555557,1504.63915,1451.2042,1504.63915,BOS
1957,BOS,1505.0627,1602.563,1588.5833041666667,1596.75025,1501.563,1596.75025,BOS
1957,STL,1490.6301,1510.5231,1509.680022222222,1511.28095,1463.8943,1511.28095,BOS
1957,ROC,1472.4956,1462.6226,1479.9782319444446,1473.949,1437.0902,1473.949,BOS
1957,PHW,1597.1729,1567.0707,1574.899661111111,1579.3532,1534.056,1579.3532,BOS
1957,NYK,1524.6167,1521.5178,1529.57755,1530.235,1494.8671,1530.235,BOS
1958,STL,1528.1519,1518.1194,1561.778438888889,1561.1048500000002,1497.8113,1561.1048500000002,STL
1958,BOS,1602.5323,1578.2423,1634.8226875,1627.37905,1578.2423,1627.37905,STL
1958,NYK,1517.3884,1553.9967,1537.213475,1538.1694499999999,1481.5455,1538.1694499999999,STL
1958,DET,1451.302,1492.1536,1445.0671277777776,1439.65725,1405.5566,1439.65725,STL
1958,SYR,1533.0227,1590.4562,1564.740109722222,1572.23475,1507.5411,1572.23475,STL
1958,PHW,1537.02,1541.3987,1535.2369736111111,1530.1425,1472.6293,1530.1425,STL
1958,CIN,1473.2169,1506.4019,1459.3725916666667,1458.4302,1411.5732,1458.4302,STL
1958,MNL,1497.0015,1358.8671,1399.0107027777779,1396.27695,1351.0187,1396.27695,STL
1959,SYR,1553.959,1611.222,1571.0945944444445,1571.4522499999998,1521.3584,1571.4522499999998,BOS
1959,DET,1488.8943,1443.4862,1472.4847972222224,1483.0848,1406.6365,1483.0848,BOS
