season,team,lg,salary,player_id,normalized salary,salary_cap,2022 salary
1991,POR,NBA,395000,abdelal01,0.03327436610226603,11871000,25499592.0
1992,POR,NBA,494000,abdelal01,0.03952,12500000,26061180.0
1993,BOS,NBA,500000,abdelal01,0.03571428571428571,14000000,28354756.0
1994,BOS,NBA,805000,abdelal01,0.05304777594728172,15175000,29954782.0
1995,SAC,NBA,650000,abdelal01,0.04071661237785016,15964000,30651995.0
1985,LAL,NBA,1530000,abdulka01,0.425,3600000,9793069.0
1986,LAL,NBA,2030000,abdulka01,0.4795653201039452,4233000,11298280.0
1988,LAL,NBA,2000000,abdulka01,0.3244646333549643,6164000,15248702.0
1989,LAL,NBA,3000000,abdulka01,0.41482300884955753,7232000,17069461.0
1991,DEN,NBA,1660000,abdulma02,0.13983657653104203,11871000,25499592.0
1992,DEN,NBA,2008000,abdulma02,0.16064,12500000,26061180.0
1993,DEN,NBA,2358000,abdulma02,0.16842857142857143,14000000,28354756.0
1994,DEN,NBA,1825000,abdulma02,0.12026359143327842,15175000,29954782.0
1995,DEN,NBA,2200000,abdulma02,0.13781007266349285,15964000,30651995.0
1996,DEN,NBA,2600000,abdulma02,0.11304347826086956,23000000,42906004.0
1997,SAC,NBA,3100000,abdulma02,0.12724212945860527,24363000,44402880.0
1998,SAC,NBA,3300000,abdulma02,0.12267657992565056,26900000,48285994.0
2001,MEM,NBA,798500,abdulma02,0.022492957746478873,35500000,58657395.0
1998,SAC,NBA,1226880,abdulta01,0.0456089219330855,26900000,48285994.0
1999,SAC,NBA,1411000,abdulta01,0.04703333333333334,30000000,52688773.0
2000,DEN,NBA,1594920,abdulta01,0.04690941176470588,34000000,57763864.0
2001,DEN,NBA,4500000,abdulta01,0.1267605633802817,35500000,58657395.0
2002,DEN,NBA,5062500,abdulta01,0.11911764705882352,42500000,69132284.0
2003,DAL,NBA,5625000,abdulta01,0.1396786769635718,40271000,64048956.0
2004,DAL,NBA,6187500,abdulta01,0.1411382299270073,43840000,67907202.0
2005,DAL,NBA,6750000,abdulta01,0.15386368816959198,43870000,65719039.0
2006,DAL,NBA,3656250,abdulta01,0.07386363636363637,49500000,71839551.0
2007,DAL,NBA,1968750,abdulta01,0.03705184906370566,53135000,74973988.0
1997,MEM,NBA,2186000,abdursh01,0.08972622419242293,24363000,44402880.0
1998,MEM,NBA,2513760,abdursh01,0.09344832713754647,26900000,48285994.0
1999,MEM,NBA,2842000,abdursh01,0.09473333333333334,30000000,52688773.0
2000,MEM,NBA,9000000,abdursh01,0.2647058823529412,34000000,57763864.0
2001,MEM,NBA,10130000,abdursh01,0.2853521126760563,35500000,58657395.0
2002,ATL,NBA,11250000,abdursh01,0.2647058823529412,42500000,69132284.0
2003,ATL,NBA,12375000,abdursh01,0.30729308931985794,40271000,64048956.0
2004,ATL,NBA,13500000,abdursh01,0.3079379562043796,43840000,67907202.0
2005,POR,NBA,14625000,abdursh01,0.33337132436744926,43870000,65719039.0
2006,SAC,NBA,5000000,abdursh01,0.10101010101010101,49500000,71839551.0
2007,SAC,NBA,5400000,abdursh01,0.1016279288604498,53135000,74973988.0
2008,SAC,NBA,5800000,abdursh01,0.1042602912097789,55630000,75594893.0
2010,SAC,NBA,6600000,abdursh01,0.11438474870017332,57700000,77414680.0
2017,OKC,NBA,5994764,abrinal01,0.06367721445035744,94143000,112368348.0
2018,OKC,NBA,5725000,abrinal01,0.057774010273177724,99093000,115455294.0
2019,OKC,NBA,3575183,abrinal01,0.03509588785597188,101869000,116573245.0
2021,MIA,NBA,2582160,achiupr01,0.02365915338097856,109140000,117838496.0
2022,TOR,NBA,2711280,achiupr01,0.02411870407600477,112414000,112414000.0
