Season,Team,Lg,Salary,player_id
1990-91,Portland Trail Blazers,NBA,395000,abdelal01
1991-92,Portland Trail Blazers,NBA,494000,abdelal01
1992-93,Boston Celtics,NBA,500000,abdelal01
1993-94,Boston Celtics,NBA,805000,abdelal01
1994-95,Sacramento Kings,NBA,650000,abdelal01
Career,(may be incomplete),,2844000,abdelal01
1984-85,Los Angeles Lakers,NBA,1530000,abdulka01
1985-86,Los Angeles Lakers,NBA,2030000,abdulka01
1987-88,Los Angeles Lakers,NBA,2000000,abdulka01
1988-89,Los Angeles Lakers,NBA,3000000,abdulka01
Career,(may be incomplete),,8560000,abdulka01
1990-91,Denver Nuggets,NBA,1660000,abdulma02
1991-92,Denver Nuggets,NBA,2008000,abdulma02
1992-93,Denver Nuggets,NBA,2358000,abdulma02
1993-94,Denver Nuggets,NBA,1825000,abdulma02
1994-95,Denver Nuggets,NBA,2200000,abdulma02
1995-96,Denver Nuggets,NBA,2600000,abdulma02
1996-97,Sacramento Kings,NBA,3100000,abdulma02
1997-98,Sacramento Kings,NBA,3300000,abdulma02
2000-01,Vancouver Grizzlies,NBA,798500,abdulma02
Career,(may be incomplete),,19849500,abdulma02
1997-98,Sacramento Kings,NBA,1226880,abdulta01
1998-99,Sacramento Kings,NBA,1411000,abdulta01
1999-00,Denver Nuggets,NBA,1594920,abdulta01
2000-01,Denver Nuggets,NBA,4500000,abdulta01
2001-02,Denver Nuggets,NBA,5062500,abdulta01
2002-03,Dallas Mavericks,NBA,5625000,abdulta01
2003-04,Dallas Mavericks,NBA,6187500,abdulta01
2004-05,Dallas Mavericks,NBA,6750000,abdulta01
2005-06,Dallas Mavericks,NBA,3656250,abdulta01
2006-07,Dallas Mavericks,NBA,1968750,abdulta01
Career,(may be incomplete),,37982800,abdulta01
1996-97,Vancouver Grizzlies,NBA,2186000,abdursh01
1997-98,Vancouver Grizzlies,NBA,2513760,abdursh01
1998-99,Vancouver Grizzlies,NBA,2842000,abdursh01
1999-00,Vancouver Grizzlies,NBA,9000000,abdursh01
2000-01,Vancouver Grizzlies,NBA,10130000,abdursh01
2001-02,Atlanta Hawks,NBA,11250000,abdursh01
2002-03,Atlanta Hawks,NBA,12375000,abdursh01
2003-04,Atlanta Hawks,NBA,13500000,abdursh01
2004-05,Portland Trail Blazers,NBA,14625000,abdursh01
2005-06,Sacramento Kings,NBA,5000000,abdursh01
2006-07,Sacramento Kings,NBA,5400000,abdursh01
2007-08,Sacramento Kings,NBA,5800000,abdursh01
2009-10,Sacramento Kings,NBA,6600000,abdursh01
Career,(may be incomplete),,101221760,abdursh01
2016-17,Oklahoma City Thunder,NBA,5994764,abrinal01
2017-18,Oklahoma City Thunder,NBA,5725000,abrinal01
2018-19,Oklahoma City Thunder,NBA,3575183,abrinal01
Career,(may be incomplete),,15294947,abrinal01
2020-21,Miami Heat,NBA,2582160,achiupr01
2021-22,Toronto Raptors,NBA,2711280,achiupr01
Career,(may be incomplete),,5293440,achiupr01
2005-06,Detroit Pistons,NBA,398762,ackeral01
2006-07,Detroit Pistons,NBA,839209,ackeral01
2008-09,Los Angeles Clippers,NBA,711517,ackeral01
Career,(may be incomplete),,1949488,ackeral01
1987-88,Boston Celtics,NBA,75000,acresma01
1988-89,Boston Celtics,NBA,300000,acresma01
1990-91,Orlando Magic,NBA,437000,acresma01
1991-92,Orlando Magic,NBA,547000,acresma01
1992-93,Houston Rockets,NBA,250000,acresma01
Career,(may be incomplete),,1609000,acresma01
2012-13,Toronto Raptors,NBA,665000,acyqu01
2013-14,Toronto Raptors,NBA,788872,acyqu01
2014-15,New York Knicks,NBA,915243,acyqu01
2015-16,Sacramento Kings,NBA,981348,acyqu01
2016-17,Brooklyn Nets,NBA,1914544,acyqu01
2016-17,Dallas Mavericks,NBA,1050961,acyqu01
2017-18,Brooklyn Nets,NBA,1709538,acyqu01
2018-19,Phoenix Suns,NBA,213948,acyqu01
Career,(may be incomplete),,8239454,acyqu01
1984-85,Phoenix Suns,NBA,500000,adamsal01
1985-86,Phoenix Suns,NBA,600000,adamsal01
1987-88,Phoenix Suns,NBA,675000,adamsal01
Career,(may be incomplete),,1775000,adamsal01
2006-07,New Jersey Nets,NBA,412718,adamsha01
2008-09,Los Angeles Clippers,NBA,297163,adamsha01
Career,(may be incomplete),,709881,adamsha01
2018-19,Atlanta Hawks,NBA,236854,adamsja01
2019-20,Portland Trail Blazers,NBA,163356,adamsja01
2019-20,Atlanta Hawks,NBA,100000,adamsja01
Career,(may be incomplete),,500210,adamsja01
2014-15,Memphis Grizzlies,NBA,1344120,adamsjo01
2015-16,Memphis Grizzlies,NBA,1404600,adamsjo01
2016-17,Memphis Grizzlies,NBA,1465080,adamsjo01
Career,(may be incomplete),,4213800,adamsjo01
1985-86,Sacramento Kings,NBA,85000,adamsmi01
1987-88,Denver Nuggets,NBA,160000,adamsmi01
1988-89,Denver Nuggets,NBA,375000,adamsmi01
1990-91,Denver Nuggets,NBA,825000,adamsmi01
1991-92,Washington Bullets,NBA,1309000,adamsmi01
1992-93,Washington Bullets,NBA,1309000,adamsmi01
1993-94,Washington Bullets,NBA,1309000,adamsmi01
1994-95,Charlotte Hornets,NBA,1240000,adamsmi01
Career,(may be incomplete),,6612000,adamsmi01
2013-14,Oklahoma City Thunder,NBA,2090880,adamsst01
2014-15,Oklahoma City Thunder,NBA,2184960,adamsst01
2015-16,Oklahoma City Thunder,NBA,2279040,adamsst01
2016-17,Oklahoma City Thunder,NBA,3140517,adamsst01
2017-18,Oklahoma City Thunder,NBA,22471910,adamsst01
2018-19,Oklahoma City Thunder,NBA,24157304,adamsst01
2019-20,Oklahoma City Thunder,NBA,25842697,adamsst01
2020-21,New Orleans Pelicans,NBA,29592695,adamsst01
2021-22,Memphis Grizzlies,NBA,17073171,adamsst01
Career,(may be incomplete),,128833174,adamsst01
1991-92,New Jersey Nets,NBA,311000,addisra01
1992-93,New Jersey Nets,NBA,522000,addisra01
1994-95,Detroit Pistons,NBA,250000,addisra01
1995-96,Charlotte Hornets,NBA,360000,addisra01
1996-97,Charlotte Hornets,NBA,290000,addisra01
Career,(may be incomplete),,1733000,addisra01
2017-18,Miami Heat,NBA,2490360,adebaba01
2018-19,Miami Heat,NBA,2955840,adebaba01
2019-20,Miami Heat,NBA,3454080,adebaba01
2020-21,Miami Heat,NBA,5115492,adebaba01
2021-22,Miami Heat,NBA,28103550,adebaba01
Career,(may be incomplete),,42119322,adebaba01
2018-19,Cleveland Cavaliers,NBA,0,adelde01
Career,(may be incomplete),,0,adelde01
2010-11,Golden State Warriors,NBA,342666,adrieje01
2011-12,Houston Rockets,NBA,270427,adrieje01
2012-13,Charlotte Bobcats,NBA,804131,adrieje01
2013-14,Charlotte Bobcats,NBA,916099,adrieje01
2014-15,Houston Rockets,NBA,981084,adrieje01
Career,(may be incomplete),,3314407,adrieje01
2007-08,Detroit Pistons,NBA,944520,afflaar01
2008-09,Detroit Pistons,NBA,1015440,afflaar01
2009-10,Denver Nuggets,NBA,1086240,afflaar01
2010-11,Denver Nuggets,NBA,1959577,afflaar01
2011-12,Denver Nuggets,NBA,7562500,afflaar01
2012-13,Orlando Magic,NBA,7750000,afflaar01
2013-14,Orlando Magic,NBA,7312500,afflaar01
2014-15,Portland Trail Blazers,NBA,7750000,afflaar01
2015-16,New York Knicks,NBA,8000000,afflaar01
2016-17,Sacramento Kings,NBA,12500000,afflaar01
2017-18,Sacramento Kings,NBA,1500000,afflaar01
2017-18,Orlando Magic,NBA,1471382,afflaar01
Career,(may be incomplete),,58852159,afflaar01
2006-07,Dallas Mavericks,NBA,906480,agerma01
2007-08,New Jersey Nets,NBA,974400,agerma01
2008-09,New Jersey Nets,NBA,1042440,agerma01
2010-11,Minnesota Timberwolves,NBA,83305,agerma01
Career,(may be incomplete),,3006625,agerma01
1984-85,Dallas Mavericks,NBA,800000,aguirma01
1985-86,Dallas Mavericks,NBA,626240,aguirma01
1987-88,Dallas Mavericks,NBA,715700,aguirma01
1988-89,Dallas Mavericks,NBA,715700,aguirma01
1990-91,Detroit Pistons,NBA,1115000,aguirma01
1991-92,Detroit Pistons,NBA,1232000,aguirma01
1992-93,Detroit Pistons,NBA,1351000,aguirma01
1993-94,Detroit Pistons,NBA,1471000,aguirma01
1993-94,Los Angeles Clippers,NBA,150000,aguirma01
Career,(may be incomplete),,8176640,aguirma01
2008-09,San Antonio Spurs,NBA,125562,ahearbl01
Career,(may be incomplete),,125562,ahearbl01
1984-85,Boston Celtics,NBA,400000,aingeda01
1985-86,Boston Celtics,NBA,550000,aingeda01
1987-88,Boston Celtics,NBA,625000,aingeda01
1988-89,Boston Celtics,NBA,675000,aingeda01
1990-91,Portland Trail Blazers,NBA,725000,aingeda01
1991-92,Portland Trail Blazers,NBA,725000,aingeda01
1992-93,Phoenix Suns,NBA,1330000,aingeda01
1993-94,Phoenix Suns,NBA,1690000,aingeda01
1994-95,Phoenix Suns,NBA,2080000,aingeda01
Career,(may be incomplete),,8800000,aingeda01
2008-09,Charlotte Bobcats,NBA,1276320,ajincal01
2009-10,Charlotte Bobcats,NBA,1372080,ajincal01
2010-11,Toronto Raptors,NBA,1467840,ajincal01
2014-15,New Orleans Pelicans,NBA,981084,ajincal01
2015-16,New Orleans Pelicans,NBA,4300000,ajincal01
2016-17,New Orleans Pelicans,NBA,4600000,ajincal01
2017-18,New Orleans Pelicans,NBA,4961798,ajincal01
2018-19,Los Angeles Clippers,NBA,5285394,ajincal01
Career,(may be incomplete),,24244516,ajincal01
2013-14,Memphis Grizzlies,NBA,788872,akognjo01
Career,(may be incomplete),,788872,akognjo01
2010-11,Toronto Raptors,NBA,770000,alabiso01
2011-12,Toronto Raptors,NBA,830000,alabiso01
Career,(may be incomplete),,1600000,alabiso01
1987-88,Washington Bullets,NBA,232500,alarima01
1988-89,Washington Bullets,NBA,250000,alarima01
1990-91,Washington Bullets,NBA,500000,alarima01
1991-92,Washington Bullets,NBA,550000,alarima01
Career,(may be incomplete),,1532500,alarima01
2021-22,Memphis Grizzlies,NBA,1994520,aldamsa01
Career,(may be incomplete),,1994520,aldamsa01
2014-15,Philadelphia 76ers,NBA,3000000,aldemfu01
2015-16,Philadelphia 76ers,NBA,3000000,aldemfu01
Career,(may be incomplete),,6000000,aldemfu01
2010-11,Oklahoma City Thunder,NBA,2126520,aldrico01
2011-12,Oklahoma City Thunder,NBA,2286000,aldrico01
2012-13,Sacramento Kings,NBA,2445480,aldrico01
2014-15,New York Knicks,NBA,981084,aldrico01
2015-16,Los Angeles Clippers,NBA,1100600,aldrico01
2016-17,Minnesota Timberwolves,NBA,7643979,aldrico01
2017-18,Minnesota Timberwolves,NBA,7300000,aldrico01
2018-19,Minnesota Timberwolves,NBA,685341,aldrico01
2019-20,Minnesota Timberwolves,NBA,685340,aldrico01
2020-21,Minnesota Timberwolves,NBA,685340,aldrico01
Career,(may be incomplete),,25939684,aldrico01
2006-07,Portland Trail Blazers,NBA,4027320,aldrila01
2007-08,Portland Trail Blazers,NBA,4329360,aldrila01
2008-09,Portland Trail Blazers,NBA,4631400,aldrila01
2009-10,Portland Trail Blazers,NBA,5844827,aldrila01
2010-11,Portland Trail Blazers,NBA,11244000,aldrila01
2011-12,Portland Trail Blazers,NBA,12372000,aldrila01
2012-13,Portland Trail Blazers,NBA,13500000,aldrila01
2013-14,Portland Trail Blazers,NBA,14128000,aldrila01
